entry	PH	PHC	PHR	EH	EHC	EHR	DT	DTC	DTR	YP	YPC	YPR	Yrad	YCrad	YRrad
1_1	179.8385	188.3398	171.3372	106.6041	115.4041	97.8041	77.7476	68.0049	87.4903	48.2724	59.1726	37.3722	6.8461	7.7057	5.9865
1_15	135.4811	136.5768	134.3854	76.4743	79.218	73.7306	77.6025	66.33622	88.86878	65.3547	62.775	67.9344	7.986	7.786	8.186
1_23	182.5484	178.1793	186.9175	111.0571	112.216	109.8982	78.2439	67.3966	89.0912	85.6399	96.7214	74.5584	9.2103	9.8547	8.5659
1_25	206.419	221.6619	191.1761	119.7299	130.9071	108.5527	77.5949	68.5955	86.5943	59.6785	63.1789	56.1781	7.6833	7.95906	7.40754
1_3	160.5886	164.3401	156.8371	73.271	73.0715	73.4705	72.0043	59.296	84.7126	51.077	52.67734	49.47666	7.0524	7.1407	6.9641
1_30	169.8466	172.3723	167.3209	92.5918	90.3547	94.8289	77.3603	67.3196	87.401	34.9794	33.5206	36.4382	5.7228	5.5137	5.9319
1_31	204.5644	207.2433	201.8855	105.6987	102.7824	108.615	79.56	67.2998	91.8202	35.6821	46.9332	24.431	5.7618	6.7823	4.7413
1_32	165.8466	168.3723	163.3209	73.1411	66.8854	79.3968	73.3432	61.0697	85.6167	16.7508	18.646	14.8556	4.0228	4.3837	3.6619
1_39	146.5725	143.2759	149.8691	67.12	69.4675	64.7725	78.8258	67.599	90.0526	30.952	49.0331	12.8709	4.8682	6.8457	2.8907
1_44	184.5402	186.1466	182.9338	100.9566	94.8141	107.0991	72.2366	60.6172	83.856	26.3855	40.8579	11.9131	4.4788	6.102	2.8556
1_45	196.6127	201.4367	191.7887	96.3715	103.4735	89.2695	77.568	67.6806	87.4554	45.6628	39.1409	52.1847	6.5608	5.9769	7.1447
1_47	123.9192	129.6625	118.1759	69.3591	65.424	73.2942	75.8583	64.6898	87.0268	46.7329	42.8336	50.6322	6.8219	6.555	7.0888
1_66	165.0482	170.1786	159.9178	72.0571	73.216	70.8982	76.0953	67.4705	84.7201	37.1815	39.993	34.37	6.0653	6.34228	5.78832
1_80	178.371	172.4697	184.2723	97.9502	99.7883	96.1121	79.433	70.4886	88.3774	26.1683	23.3345	29.0021	5.0448	4.7824	5.3072
1_89	157.4435	154.7598	160.1272	93.422	90.6755	96.1685	71.905	60.1028	83.7072	23.191	19.4791	26.9029	4.724	4.4148	5.0332
1_94	139.2282	150.232	128.2244	62.2751	65.7547	58.7955	76.2356	63.0512	89.42	12.3604	13.201	11.5198	3.4108	3.56603	3.25557
10_10	190.4514	200.7913	180.1115	96.9249	103.6873	90.1625	80.5341	72.1387	88.9295	26.5874	29.6954	23.4794	5.10229	5.49669	4.70789
10_15	168.5321	176.1141	160.9501	80.1576	88.618	71.6972	77.5232	67.6211	87.4253	61.2968	56.8925	65.7011	7.7787	7.4982	8.0592
10_17	147.7499	145.9855	149.5143	70.6505	65.923	75.378	80.5596	67.8246	93.2946	54.5751	46.1745	62.9757	7.3515	6.786	7.917
10_18	202.4435	199.7598	205.1272	117.617	110.4557	124.7783	81.8807	71.6651	92.0963	35.7043	48.7566	22.652	5.7322	6.919	4.5454
